card name,question,answer
"","Can I cast minions from my opponent's cemetery?","Yes. You control it when it enters the realm, and then it gets banished."
"","When using the Deathspeaker's ability, do Genesis abilities trigger before the banishing effect?","Yes, because events on the storyline are split up when a card enters the realm. See the '((Splitting Events on the Storyline))' codex entry for more details."
"","When using the Deathspeaker's ability, are passive abilities applied before the banishing effect? The updated text only mentions Genesis abilities.","Yes, the minion is in the realm for a brief moment, so any passive abilities it has will be applied during that window before it is banished."
"Deathwish","What if my current life is higher than my maximum life after this effect resolves?","Your current life is immediately reduced to your maximum life."
"","If an avatar has an odd maximum life, do they round down after halving it?","Yes."
"Demonic Contract","What is all of the small text on this card?!","Don't tell me you entered into a contract with a Demon without reading the fine print! The smaller text is all of the rules and stipulations for the casting of this spell!"
"","What is 'lower' rarity?","The order of rarities (from highest to lowest) is: Unique, Elite, Exceptional, and Ordinary. For example, if you control an Exceptional Demon, you could search for an Exceptional or Ordinary spell."
"Desecrate","Who controls the Desecrated Ground that the site transforms into?","Since the site transforms, the controller of the site will not change. Whoever controlled the site that was struck will control the Desecrated Ground. If that site had no controller, no one will control the Desecrated Ground."
"Detonate","If I Detonate a minion with the Lethal ability, is the damage from Detonate Lethal?","No, the source of the damage is the Detonate spell itself, not the exploding minion."
"","What if I choose a Warded minion to destroy?","The Ward breaks instead of the minion being destroyed, but there's still an explosion. After the ward breaks (protecting the minion from the destruction effect), it will still take 3 damage along with the other units at its location."
"Dhol Chants","Can you tap minions with summoning sickness for this effect?","Yes, it's part of the effect of the spell, not strictly a cost being paid, so you can tap your allies that have summoning sickness for this effect.  Note that only untapped units can be tapped, however."
"Displace","Can this teleport a minion or artifact from a site to the void?","No. The location the minion or artifact teleports to must be one diagonal step away from where it started, and steps are only measured within the same region. A minion or artifact starting at a surface location can only be teleported to another surface location, for example."
"","Can this teleport an aura from a site to the void?","Yes! When moving auras, you ignore the regional boundaries between surface and void locations."
"Divine Intervention","Does this count as healing?","No, this removes Death's Door and then sets your life to 1."
"","What if I cast this while my life is higher than 1?","You set your life to 1."
"Divine Lance","If I break two allied Wards to increase the damage, will it be three instances of 1 damage each, or 3 damage once?","Three damage once."
"Dodge Roll","If Dodge Roll's mana cost is increased (e.g. Maddening Bells), can you cast it on your opponent's turn?","No, because you don't have any mana available on your opponent's turn."
"Dome of Osiros","If a minion here is attacked what happens?","It's not possible to declare an attack against a minion here. If you attack an avatar here and a minion defends, the minion becomes a legal target, per the Defend rules."
"","Does this site protect minions from cards with the word 'attack' in their name, like Leap Attack or Spin Attack?","No. Dome of Osiros only prevents 'attacks' from the Move and Attack basic ability, or other card text that uses the word 'attack' (e.g. Crave Golem)."
"Dormant Monstrosity","When counting 'each unit,' do I include all adjacent squares?","Yes! Count any unit in any square adjacent to the summoning square (including the summoning square itself). Each unit counts once, regardless of how many adjacent squares it occupies."
"Dragonlord","When do I choose my set aside Dragon? Can it change during a tournament?","You must select your set aside Dragon 'before setup,' which means during deckbuilding. You cannot change it during a tournament. The Dragonlord is loyal to his champion and would not be so fickle!"
"","Can my spellbook include a copy of my set aside Unique Dragon?","Yes! The set aside Dragon is intended as a rules reference for both players. You may use a suitable substitute for the set aside Dragon, if needed."
"","When the Dragonlord gains the abilities of the set aside Dragon, does the Dragonlord gain its power as well?","No, power is a characteristic, not an ability. The Dragonlord will only gain the abilities printed in the text box."
"","Can the Dragonlord gain Stealth?","No. Avatars cannot gain Stealth."
"","If the Dragonlord gains Voidwalk, Burrowing, or Submerge, may it enter other regions?","No. Avatars cannot enter any region other than the surface."
"","If the Dragonlord gains Ignis Rex's ability, is that considered fire damage? Same question for Adtonitum and air damage?","Yes! If the Dragonlord gains Ignis Rex's ability and then discards a fire card, the Dragonlord will deal fire damage. Same answer for Adtonitum and air damage."
"Dread Thicket","What does 'attack out of this site' mean?","Take exactly one step away from the site, then attack. It doesn't matter if the unit took steps before entering the Dread Thicket, merely that they take exactly one step away from the Thicket and then attack."
"Dreadwing","Does this strike my avatar even if I summon it somewhere else?","Yes, Dreadwing will strike your avatar even if they don't share a location when its Genesis resolves."
"Dream-Quest","Can I cast this on my Avatar, since they are a spellcaster?","Your avatar can't be disabled per their characteristics. Thus, they won't be able to go to sleep, and therefore won't be able to wake up. If you cast this on your Avatar, it will have no effect."
"","Using Dream-Quest, can I put to sleep one of my non-minion Spellcasters (e.g. Omphalos, River of Flame) or a spellcaster with restrictions (e.g. Earl of the Ivory Towers, Wind Sylph)?","Yes! An Omphalos will be disabled and thus not draw a spell that turn, but it cannot be hurt unless it's animated. Assuming it is not hurt, you may wake it up at the start of your next turn. For a site (e.g. River of Flame), it provides no Threshold while disabled, but it will wake up in time to produce mana next turn, due to the order of resolution in the Start Phase."
"Driftwood Marrows","How does this ability work?","Allies which are nearby to the Marrows, including themselves, can't be forcibly submerged, e.g. ((Atlantean Fate)), ((Drown)), ((Call of the Sea)), etc. Nearby allies can still choose to submerge when taking their own steps via their own submerge ability."
"Drought","Can Floodplain still flood a site affected by Drought?","Yes. See '((Example - Flood vs. Drought))' in the codex."
"","How do Drought and Flood interact?","See '((Example - Flood vs. Drought))' in the codex."
"Druid","What is the updated text for the front of the Druid?","Tap -> Play or draw a site. If this is your first turn, summon Tawny here. Tap -> Summon Bruin here. Flip this card."
"","Does the Druid's flip side ability work with Poisonous Dagger?","No. The site itself gains the ability and is doing the damage."
"","Can the Druid's flip side ability give the Druid kill credit?","No. Only units can get kill credit, and the site is source of the damage. The triggered ability is the site's ability, not the Druid's. See the '((kill credit))' codex entry for more details."
"","If a site loses its abilities, does the Druid's flip side ability still apply? Can this affect Bedrock?","No. The Druid grants an ability to the site. If the site is silenced (or can't be modified in the case of Bedrock), then it loses the ability and will not deal damage."
"Drums of Doom","I strike your minion, which is nearby the Drums. Then, you redirect the damage to a bodyguard (e.g. Royal Bodyguard, Sir Gawain), who is not nearby the Drums. Does your bodyguard take lethal damage?","No. If the minion actually being damaged is not near the Drums, the damage is not Lethal."
"Duplicator","How does this ability impact my collection?","You may include any cards you wish in your collection, following normal deckbuilding rules. If you have 0 copies of a unique card in your deck, you may include 1 ))copy(( in your collection. If you have 2 copies of a unique card in your deck, you cannot include any copies in your collection."
"Dwarven Digging Team","If I have Dwarven Digging Team in play, can I choose to summon minions underground without a printed Burrowing ability?","No. The units don't gain Burrowing until they're at nearby sites, and you must choose the summoning location when you cast the spell. When you cast the minion spell, it doesn't have burrowing yet, and thus you cannot pick an underground location."
"Earthquake","What does 'normal size' mean?","Anything that occupies exactly 1 location."
"","Does this carry along oversized units or auras that occupy more than one square?","No."
"","If the 2x2 area includes some sites and some void, can you rearrange the sites into the void squares?","No. You can rearrange sites with other sites as you wish, but the void squares must remain the same."
"East-West Dragon","Does diagonal movement include 'sideways' movement?","No."
"Edge of the World","What happens if Edge of the World's ability is lost (e.g. Smokestacks of Gnaak), then Edge of the World gets surrounded by sites, then its ability is regained (e.g. Smokestacks of Gnaak moves away)?","In this rare case, Edge of the World would destroy itself."
"","What happens if an effect causes edge of the world to not be adjacent to the void?","The effect does not resolve. Examples:
If you try to move Cloud City to the only void square adjacent to Edge of the World, Cloud City won't move.
If you try to play a site from your hand, it won't work and your site will remain in your hand.
If you use Earthquake to rearrange sites in a way that Edge of the World isn't adjacent to void, the entire rearrangement fails (and then you still try to burrow.)
If you have two Magellan Globes in play at the same location and they're the only thing keeping Edge of the World adjacent to void and they are Dispelled, one is destroyed and other isn't."
"Enchantress","Turning auras into minions!? Is this real?","Yes, indeed. Enchantress is a very versatile Avatar, and one that twists the rules to create very interesting games. Be sure to check these FAQs as well as the auras you're looking to animate. Since many auras occupy a 2x2 area in the realm, you may want to learn about oversized units as well."
"","What is the proper timing of resolution for this effect?","Whenever you cast a spell, before that spell resolves, but after targets are specified. See the 'storyline' entry for more details."
"","Can you animate your opponent's auras?","Yes, as long as you can target them (i.e. they are in the same region as the Enchantress). Your opponent still controls the aura minion."
"","Can any of my spellcasters cast a spell and still benefit from my avatar's ability?","Yes! As long as you control the spellcaster, the game sees it as a spell '((you))' cast, meaning the player."
"","Do animated aura change size?","No."
"","If Polar Explorers or Ruler of Thul are in play and an oversized unit on the top row moves 'up' one row to wrap around to the bottom, what happens?","This ability only allows movement across the borders, not ongoing occupation. Units cannot balance on the edge of the realm and an oversized unit that finds its way there falls to one side or the other. Its controller places it in the closest legal position, controller's choice if tied."
"","If Magellan Globe is in play and an Oversized unit on the top row moves 'up' one row to wrap around to the bottom, what happens?","Since Magellan Globe is an ongoing effect that connects the top and bottom edges, the oversized unit can occupy 2 locations on the top row and 2 locations on the bottom row. Ensure that game state is clear, using notes as needed."
"","If Magellan Globe leaves play when a card is spanning the edge of the realm, what happens?","Units cannot balance on the edge of the realm and an oversized unit that finds its way there falls to one side or the other. Its controller places it in the closest legal position, controller's choice if tied. If there's no legal position anywhere in the realm for a minion, it dies. If there's no legal position anywhere in the realm for an avatar, shrink it until there is a legal position (Avatar controller's choice), and place it there."
"Entangle Terrain","Does this affect subsurface units, as well as surface?","Yes, since it doesn't say 'atop.' Note that it doesn't affect minions in the void, since the void isn't a site."
"Erik's Curiosa","Do I really have to rip it to pieces?","Please see the golden rule! The point is to actually, literally rip the card up, so it will never be playable again. It is banished after you rip it."
"","How does this work in a tournament, especially in best of 1 games, when I rip this?","See the rules for that specific tournament, but by default the card is playable. Tournament organizers have latitude to set rules for their events, but one reasonable approach is that you use a deck missing one card for the rest of the tournament (and it's legal to do so)."
"","If my opponent gains control of my Erik's Curiosa and then they rip it, who gets to pick the card?","They get a card of the controller's choice from the controller's collection (so they get to pick). Hopefully you can still be friends! (They must give you a moment to concede before they rip it.)"
"","Does this effect let me break the normal restrictions on deck legality? e.g. duplicate Unique card, or duplicate any site for Pathfinder?","The card limits exist only when the game starts; once the game begins, various effects can change your deck composition. So, yes, you are free to get an extra copy of a Unique card via Erik's Curiosa, as long as the card is actually in your collection."
"Ersatz Platz","How do I resolve this effect?","When you would use your avatar's ability (or another ability to play sites without restriction), you may choose to play that site from your collection and banish Ersatz Platz."
"Ether Core","Must one of my units carry this to gain the mana?","Yes! If no one is carrying it, it isn't controlled by you. Without a controller, the Ether Core provides mana to no one. Remember that carriable artifacts must be carried to be controlled!"
"Evil Presence","The term 'summon' means 'enter the realm.' So, does that mean I can play minions here for free?","No. This effect simply provides additional locations where you may summon your minions."
"Evil Twin","Can I summon Evil Twin to a non-surface location if it will be copying a minion that has the appropriate ability (e.g. summon to an underground location while copying a Root Spider)?","No. The Evil Twin only gains the abilities as enters the realm, and you must declare its summoning location at the time you cast it, before it enters."
"Failed Mutation","What does 'can't be targeted or damaged by magic' mean?","Magic can't target the card and the card can't be damaged by Magic (even without targeting). The card can still be targeted by non-Magic effects."
"Faith Incarnate","Does this effect count all wards in the realm, or only ones I control?","It counts all wards in the realm, on any unit or site!"
"Falling Star","What does 'When the star falls' mean?","At the end of each of your turns, during step 1 of the end phase, add a counter to Falling Star. When you add the third counter, you immediately summon a minion and resolve the rest of this effect, then dispel Falling Star."
"","If my summoned minion has a genesis effect, does the genesis resolve before the strike?","Yes, resolve the genesis first, including any deathrites. Then, the 'strike each other unit' effect resolves."
"","Are the strikes against other units all simultaneous?","Yes."
"","How does this resolve if I summon an oversized minion?","At least one of the summoning sites must include an affected site. The 'strike each other unit where it lands' effect occurs on one affected site of your choice (that the summoned minion occupies)."
"False Idol","Do I draw a spell if my opponent's minion enters the realm tapped?","No. This ability only triggers when a minion goes from being untapped to tapped while nearby the Idol."
"Far East Assassin","When you use the ability, what happens to the 'thrown' artifact?","It is no longer carried by the Assassin, and is uncontrolled in the target's location. Any unit may pick it up normally (including the Assassin, if it happens to be in that location)."
"","Does the Assassin lose Stealth if it uses its ability?","Yes. It's an activated special ability, so Stealth is lost per the normal Stealth rules."
"Feign Death","If I choose a minion that has no Deathrite ability, does it still gain stealth?","Yes, it will still gain stealth."
"Fenvale Muse","What happens if I use this to trigger the Genesis ability of a site my opponent controls?","The controller of the site will be the one to resolve the Genesis ability. So in the case of a Desert, your opponent will choose the nearby site where damage is dealt. For a River, your opponent will be the one to look at their next spell and choose to put it on the bottom of their spellbook."
"Fey Changeling","Can this be summoned to an inhospitable location (e.g. underground) and die, but still have a chance to use its genesis ability first?","No. You cannot choose to summon a minion underground, underwater, or in the void unless it has the appropriate ability."
"","The term 'summon' means 'enter the realm.' So, does that mean I can play this minion for free?","No. This effect simply provides additional locations where you may summon this minion."
"Fields of Camlann","What is the proper timing of resolution for this effect?","The non-active player chooses a minion, then the active player chooses a minion. Then all other minions are killed. The non-active player resolves any triggered abilities (like deathrite), and finally the active player resolves their triggered abilities."
"Fire Harpoons!","Does the 'adjacent Water site' need to be in the same region as the caster?","No. Because the Water site is not targeted, and because the card text uses 'site' instead of 'location,' the site does not need to be in the same region as the caster."
"","Can I cast this spell without a target just to draw a card?","No. To cast a spell, you must specify all targets."
"","Does the target need to be in the same region as the caster?","No. Normally the answer is yes, but the card text 'above or ((below))' means that normal targeting restrictions are ignored, and the caster can be in any region (surface, underground, underwater, or in the void). As long as there is an adjacent Water site to the caster and a minion occupying that water site, it will get pulled to the caster's location."
"Firebolts","What does 'one at a time' mean?","Resolve the first bolt (including any deathrite or other 'kills' abilities), then resolve the next one, then resolve the 3rd one. Each bolt must go in the same direction."
"Fisherman's Family","Are these family cards of Castle Servants, Common Cottagers, Blacksmith Family, and Fisherman's Family considered Air, Earth, Fire, and Water spells, respectively?","Yes. You can see the spell's colored frame matches those elements, so Castle Servants is an Air spell, Common Cottagers is an Earth spell, Blacksmith Family is a Fire spell, and Fisherman's Family is a Water Spell."
"Flagellant","If damage is prevented, do I still heal?","No. Flagellant must actually take 1 or more damage for you to heal."
"","If Flagellant takes 5 damage, do I heal more than 1?","No, just 1. But if Flagellant took 1 damage separately five times, e.g. Abyssal Assault or Arcane Barrage, you would heal 5."
"Flame of the First Ones","What is a 'new site'?","A site where this card has not stopped since entering the realm."
"","Does conjuring this into the realm count as 'stopping'?","No, something must move in order to stop, and conjuring something into the realm is not movement. To trigger, the Flame has to move from one location to another."
"Flame Wave","Can the grid pattern be flipped horizontally?","Yes. You pick the leftmost or rightmost column, and that is where the Flame Wave starts."
"","Can the grid pattern be rotated 90 degrees?","No."
"Flamecaller","Is the projectile considered fire damage?","Yes."
"Flaming Sword","If the attack damage was increased or decreased, does the splash damage include the change?","Yes. For example, Critical Strike will splash double damage."
"","If a unit has two Flaming Swords, do they each splash damage?","Yes. Have fun dual wielding!"
"","Is the splash damage a strike?","No. It's damage done by the sword artifact."
"","Does the splash damage occur whenever the unit strikes?","Yes. For example, that includes Grapple Shot or other strikes, not just attacks from the Move and Attack basic ability."
"","If the struck unit isn't an enemy, is any damage splashed?","No. If there's no 'struck unit,' then it has no location. Also, there are no 'other enemies' when there's no enemy initially. See '((enemy))' in the codex."
"","If the Battlemage with a Flaming Sword attacks one enemy, and then another enemy dies as a result of the Flaming Sword, does the Battlemage get to draw a card?","Yes. An attack was made, and then a minion was killed. As long as your attacking unit used the Move and Attack ability and then got kill credit, this ability triggers."
"Flanking Maneuver","Do the locations need to be in the same region?","No. Teleport effects ignore regional boundaries unless otherwise specified, and the only restriction on this effect is that the locations be a chess knight's move apart on the board. For example, if A is a void square, and B contains a site, Flanking Maneuver can move units from that void location to either the surface or subsurface of the site."
"Flood","How do Drought and Flood interact?","See '((Example - Flood vs. Drought))' in the codex."
"Floodplain","Can Floodplain still flood a site affected by Drought?","Yes. See '((Example - Flood vs. Drought))' in the codex."
"","Can I use Floodplain before Maelström triggers?","No. Floodplain is an activated ability, which can only be activated during your Main Phase."
"Forsaken","Can I cast this onto my opponent's site in an outer column?","No, this is an additional casting restriction; it does not allow you to summon Forsaken to locations you normally could not."
"Free City","Can my Free City be struck by opposing units, and if so, will it take damage?","Yes, it can be struck, and any strike damage to your Free City will cause your avatar to ))lose(( the same amount of life."
"","How do the strikes work?","Normally, only units can strike, but card text allows the Free City site to strike as if it were a unit with 3 power."
"","Can Free City die?","It's striking as if it were a unit, but it's still a site. Therefore, it won't die due to damage. It can still be destroyed by a specific destruction effect (e.g. Sinkhole), but it won't die due to taking damage."
"","When can it attack?","Free City's ability is a passive ability that gives it the option to attack and defend 'normally' once per turn, as if it were a 3 power unit (while actually remaining a site). Therefore, it can only attack on your turn, and defend (presumably on your opponent's turn) when a unit or Free City itself is attacked by an enemy unit occupying Free City. If Free City would somehow have the chance to both attack AND defend on your turn, it can only do one."
"","What can it attack?","The key word is 'here.' Clearly burrowed units are 'here.' Airborne and Stealthed units are also 'here.' But, to attack Airborne or Stealth, a unit needs some special ability (e.g. Airborne, Ranged, etc.) Since Free City doesn't have those abilities, it can't actually target Airborne or Stealthed units with an attack."
"","How does the attack work?","Since the ability to attack is granted by a card effect and not a basic ability, no tapping is needed, but it's still an attack. Therefore, players may declare defenders for the attack normally."
"","Can Free City attack the turn it enters play?","Yes, because only minions are subject to summoning sickness."
"","If an oversized unit occupies Free City while it attacks a different site, can Free City defend against that attack?","No, since the attack is not happening on Free City."
"Frontier Settlers","Can Frontier Settlers play a site that isn't adjacent to your other sites?","Yes."
"Frozen Horror","If I activate this ability and then move a minion nearby the Horror, does the minion become disabled?","No. This ability disables minions that are nearby the Horror when the ability is activated. A minion moving nearby after that moment will not be disabled."
"Garden of Eden","Does this affect spells drawn by things like Morgana le Fay and the Omphaloi?","Yes.  Though those cards end up in another zone, they count as being drawn by the player, and will count against the one spell that can be drawn per turn.   For example, if a player draws a site at the start of their turn and then plays [[Morgana le Fay]], Morgana will only draw 1 spell into her hand, resulting in a total of only 1 spell drawn by that player that turn.  See the Only It Can Cast entry for more information."
"Gargantula","Does tapping to free a trapped minion count as interacting with the realm?","Yes, tapping to free a minion from its cocoon is activating a special ability, and counts as interacting with the realm."
"","If the minion is not dragged to Gargantula's location, does it still get disabled? What if the minion is already at Gargantula's location?","Gargantula must be at the same location as the minion to wrap it in her web, so if the minion cannot be dragged there it will not be disabled. However, if it already shares a location with Gargantula, she will cocoon it."
"Geomancer","When I play an Earth site using the second ability, do I also place a rubble in an adjacent void?","No. You only place a rubble if you play an Earth site using the first ability."
"","When I play an Earth site using the first ability, where does the rubble appear?","The rubble must be placed adjacent to your Geomancer. If there's no void adjacent to your Geomancer, then no rubble is placed."
"","Does Mirror Realm (copying an earth site), Valley of Delight (choosing earth), or one of the Bloom sites (i.e. Twilight Bloom) count for Geomancer's first ability?","Yes. Mirror ))Realm(( works because it applies as it enters the realm. Valley of Delight and the Bloom sites work because the Genesis effect of the site interrupts the resolution of the Geomancer's ability; when the second part of Geomancer's ability actually resolves and looks at the site, the site is indeed an earth (E) site. See '((Splitting Events on the Storyline))' for more details on Valley of Delight interaction, analogous to the Tawny example and splitting the Druid's ability."
"","If Geomancer creates a Rubble adjacent to Boulevard of Bones, do they create a skeleton?","No, the rubble is created in place, not played."
"Geyser","If a unit moves into the site on the same turn, but after Geyser has been cast, does it gain Airborne?","No, the minion must be at the site when Geyser resolves to gain Airborne."
"Ghost Ship","If I teleport my Ghost Ship from the void to a site, does its ability trigger?","Yes."
"","If I summon a Spirit from my opponent's cemetery, do I control it?","Yes. (And as usual for an explicit summon effect, you don't need threshold and you don't pay mana.)"
"Giant Shark","Will it fight units that are Airborne or Stealthed?","Yes. This isn't an attack (which has targeting restrictions), but actually a fight (which simply specifies who fights based on card text)."
"","What path can I choose when resolving this ability?","See ((Moving to a Specific Location Via a Special Ability or Magic)) in the Codex."
"","Will it fight your own units?","Yes."
"","Does 'enters' include minions that are summoned?","Yes."
"","If a unit moves within the same site (e.g. surface to underwater, or underwater to surface), does Shark trigger?","No, since the unit is not entering or moving between different sites."
"","What happens if I summon my minion with Genesis into my opponent's Shark's body of water?","See the storyline codex entry for details."
"","Can the Shark's path include movement from surface to underwater, or underwater to surface, if needed?","Yes, as long as the path specified is the fewest steps possible to the target."
"","If a Shark moves through a Silence aura, what happens?","The movement and fight still occur. The specific resolution is: Unit enters the water site, Shark's ability triggers. You specify the movement steps to reach the target, and they all go on the Storyline. Shark starts moving. It enters the Silence aura, but the effects of the ability are still on the Storyline and aren't removed, so they continue resolving normally."
"Gift of the Raven","Do multiple castings of this stack? Does it stack with other abilities that cause the minion's damage to heal me?","Yes, each instance of an effect like this will trigger and heal you independently."
"Gilded Aegis","A minion with Gilded Aegis is on a site chosen for Scorched Earth. The Aegis and the minion are being destroyed simultaneously. Does the Aegis have a chance to save the minion before it's destroyed?","Yes."
"","If forcefully burrowed without burrowing, will a unit with Gilded Aegis still die?","Yes."
"Gilman House","Is this effect limited to once per turn?","Nope! You may use it as many times as you want in a turn, if you meet the threshold requirement. Of course, in Constructed play, you'll be limited to four, since you can have at most four Horrible Hybrids in your collection."
"Gnome Hollows","If I have Crusade or House Arn Bannermen affecting my Gnome Hollows, may I summon a 2-power minion there?","Yes. It's first summoned (enters the realm), then ongoing effects are applied (e.g. Crusade)."
"","If Megamoeba starts at 2 power, can it move into Gnome Hollows (thus getting to 3 power)?","Yes. First, Megamoeba enters, then it grows in power immediately after entering."
"","If the most direct path is blocked (Gnome Hollows, Wall of Ice) will the grappling unit move around those obstacles to reach its target?","No. 'Dragged' is equivalent to 'Pull,' and 'Pull' requires each location entered to be closer to the destination. Making any detours wouldn't be getting closer to the Avatar, so the unit cannot take that path."
"Golden Dawn","How do I resolve this effect?","Deal face up to your back row one at a time, placing each card to the surface of a site as you go. Then, shuffle any non-minions and put them on the bottom of your deck. Now all the minions are summoned simultaneously to the location they were dealt to; resolve any effects of those minions being summoned, e.g. genesis effects. Finally, check to see if you're at Death's Door now, and if so, all the summoned minions gain Charge."
"Golgor","Can I choose to banish only some minions from the targeted location?","No, if you choose to use this ability you must banish all minions at the targeted location with 2 or less power."
"Grandmaster Wizard","There's a promotional version of this card with the name 'Grandmeowster Wizard.' Since it has a different name, does that mean I can have two copies of each in my deck?","No, treat 'Grandmeowster Wizard' as being named 'Grandmaster Wizard' for all deck building and gameplay purposes."
"Grapple Shot","The alpha and beta text is different, which should I use?","The Beta text is correct."
"","Do I resolve all the steps at once, or can effects (e.g. Bottomless Pit) interrupt the movement?","See the storyline codex entry for details."
"","Can a disabled unit Grapple Shot?","No, since it would be shooting a projectile, and disabled units can't do that."
"","If I Grapple Shot a minion with Submerge through an area affected by Mariner's Curse, what happens?","When the Grapple Shot projectile hits the unit, the game adds specific movement steps for the ally to the Storyline: Move A (surface) -> B (surface), Move B (surface) -> C (surface). Then, we start resolving those steps. If Mariner's Curse is on site B, once the unit being dragged reaches site B, it will be submerged, and live. Then the game tries to resolve Move B (surface) -> C (surface), which fails, since the unit isn't on the surface of site B anymore. Thus, there's no strike from Grapple Shot since it didn't reach the hit unit's location."
"","If the most direct path is blocked (Gnome Hollows, Wall of Ice) will the grappling unit move around those obstacles to reach its target?","No. 'Dragged' is equivalent to 'Pull,' and 'Pull' requires each location entered to be closer to the destination. Making any detours wouldn't be getting closer to the Avatar, so the unit cannot take that path."
"Grasping Ground","Are the minions and artifacts targeted by the allies which drag them down, or by the caster of Grasping Ground?","The caster of Grasping Ground must be able to target the minions and artifacts which will be be dragged down by their allies."
"Great Old One","How does Drought interact with Great Old One?","These are both passive effects, so whichever was played last takes precedence."
"","What does it actually mean to permanently flood the realm, including voids?.","All sites (including rubble) are flooded for the rest of the game, even sites that enter the realm later."
"Great Wall","The foil and non-foil beta cards have different text. Which is correct?","The non-foil beta text is correct. You may use a foil beta Great Wall in tournament play (or the alpha version), but it must be played with the non-foil beta text; ensure your opponent knows the proper text when it's played."
"","Does this stop all kinds of movement through the top border (e.g. Grapple Shot), or just the Move and Attack basic ability?","The Great Wall will stop most kinds of movement on the surface, with a few notable exceptions. Teleportation doesn't cross borders, and if a unit 'moves as if adjacent' (e.g. Waypoint Portal), that also doesn't cross borders. Finally airborne units can fly over the wall as they are not moving 'on the ground.'"
"","The alpha and beta text is different, which should I use?","The beta text is correct."
"Grigori Rasputin","How do I resolve this ability?","Rasputin must be in your cemetery to use this ability. Then, choose the Evil ally you will banish, which may be anywhere and not limited to your own sites. Since Banishing is the cost of the activated ability, resolve the whole activated ability before actually banishing the minion. (This is analogous to the '((Sacrifice))' rules.) Rasputin gains the printed power and abilities of the ally. Resolve Genesis abilities and any 'enter the realm' abilities. Finally, the Banished ally is actually removed from the realm. (Place it under Rasputin as a reminder of the current effect.)"
"","Can I banish an evil ally from my cemetery or hand?","No, you can only choose an ally in the realm to be banished by Rasputin's ability."
"Grim Reaper","How does this ability work?","When Reaper kills a minion, the minion is banished instead of dying. In addition, any copies of that minion in play (regardless of who controls them) are also banished. Finally, you search the owner's library of the minion that was killed (and only that player)."
"Grösse Poltergeist","If a unit is carrying the animated artifact, who retains control?","When the artifact is animated, it becomes a minion, and thus cannot be carried. The controller of Grösse Poltergeist gets control."
"","If the unit carrying the animated artifact can also carry minions, who retains control?","Grösse Poltergeist says you gain control, but the game rules say that anyone carrying the artifact gains control. Grösse Poltergiest takes precedence due to the golden rule, and the controller of Grösse Poltergeist gets control."
"Guardian Angel","Can you 'fly to' a minion already sharing your location?","No, that's not 'flying to.' Summon the Guardian Angel to a different location!"
"","What path can I choose when resolving this ability?","See ((Moving to a Specific Location Via a Special Ability or Magic)) in the Codex."
"","What happens if the power of one of the units changes during the resolution of this effect so that it's no longer weaker?","Only check that the target is weaker when it is initially targeted, and when the effect first starts to resolve from the storyline. Once the effect is resolving and minions are moving, it does not matter if the relative powers change after that point."
"Guile Sirens","Can it target a unit in a different region?","No. Targeting (by default) requires the source and the target to be in the same region."
"","Does the target minion use its enhanced move abilities?","Yes. When an effect has a unit 'take steps,' it uses its enhanced move abilities granted by keywords such Voidwalk, Burrowing, Submerge, and Airborne."
"","Does it tap the target minion? Can this movement be intercepted?","No and no. This isn't the Move and Attack basic ability, which is what requires tapping and can be intercepted."
"","Consider the group of sites below. An oversized minion occupies 1-2-4-5. Guile Sirens is #5. Can the oversized minion be pulled in any way?","Yes. When pulling or pushing an oversized unit, choose a single location the oversized unit occupies (and meets the requirement of the effect), and push/pull from there. So, you could choose Site 2: Oversized minion is pulled South, and ends up at 4-5-7-8. OR, choose Site 4: Oversized minion is pulled East, and ends up at 2-3-5-6. OR, choose Site 5: Oversized minion isn't pulled at all."
"","Is the ability mandatory?","Yes. It doesn't use the word 'may.'"
"Harbinger","Does Harbinger's ability combo with other effects that allow you to cast minions, e.g. Elder Ruins, Troubled Town, Peculiar Port, etc.?","Yes! It's effectively a passive ability that can be used whenever you cast a spell on your turn. The golden rule, baby!"
"","When I determine my three random squares, what if I roll doubles or triples?","Reroll any duplicated results until you have three ))unique(( squares."
"","When do I determine the random squares?","As soon as your Avatar enters the realm, during step 2 of setup."
"Harpyon Urge","What does 'an ally flies' mean?","The chosen unit takes flying steps as if it had the airborne ability. If the unit cannot take steps (due to being immobile, for instance), it cannot move to the targeted minion."
"","What path can I choose when resolving this ability?","See ((Moving to a Specific Location Via a Special Ability or Magic)) in the Codex."
"","What happens if the power of one of the units changes during the resolution of this effect so that it's no longer weaker?","Only check that the target is weaker when it is initially targeted, and when the effect first starts to resolve from the storyline. Once the effect is resolving and minions are moving, it does not matter if the relative powers change after that point."
"Haystack","How does this interact with effects like Browse or Kelp Caverns, which do not say to search, but have you look at cards instead?","If the effect does not use the word 'search' in its text, it will not be limited by Haystack."
"","Does this apply if my opponent is searching my deck as well?","Yes! Any time your opponent is searching their deck or your deck, they only search the top three cards."
"Headless Haunt","What if my Headless Haunt tries to teleport into an illegal location? (e.g. Gnome Hollows)","The teleport effect fails, and it remains where it was."
"Heirloom Lost","What happens to the site that is replaced?","The site being replaced is banished."
"","Does this play ability allow me to break normal site placement rules?","Yes! You may play this site to replace an Elite or Unique site, even if that site isn't adjacent to your existing sites."
